Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
27391716,THE USELESS SELF,Jean-Michel Terdjman,"Terdjman, Jean-Michel",,"=""""","=""""",0,0.0,Jean-Michel Terdjman,Kindle Edition,82,2011,,,2025/10/23,to-read,to-read (#1151),to-read,,,,0,0
29778648,Floyd Cardoz: Flavorwalla: Big Flavor. Bold Spices. A New Way to Cook the Foods You Love.,Floyd Cardoz,"Cardoz, Floyd",Marah Stets,"=""1579657117""","=""9781579657116""",0,3.72,Artisan,Kindle Edition,538,2016,2016,,2025/10/23,to-read,to-read (#1150),to-read,,,,0,0
48906242,Aparokshanubhuti (Self-Realization),Adi Shankaracharya,"Shankaracharya, Adi",Vimuktananda Swami,"=""8175059303""","=""9788175059306""",0,4.70,"Advaita Ashrama (A publication branch of Ramakrishna Math, Belur Math)",Kindle Edition,77,1938,,,2025/10/23,to-read,to-read (#1149),to-read,,,,0,0
41882055,Bestia: Italian Recipes Created in the Heart of L.A. [A Cookbook],Ori Menashe,"Menashe, Ori","Genevieve Gergis, Lesley Suter","=""0399580913""","=""9780399580918""",0,3.91,Ten Speed Press,Kindle Edition,319,2018,,,2025/10/23,to-read,to-read (#1148),to-read,,,,0,0
51047412,The Iconist: The Art and Science of Standing Out,Jamie Mustard,"Mustard, Jamie",,"=""1948836661""","=""9781948836661""",0,3.78,BenBella Books,Kindle Edition,272,2019,,,2025/10/23,to-read,to-read (#1147),to-read,,,,0,0
48661946,The Real Startup Book: Find the Right Product for the Right Customers,Kromatic,"Kromatic, Kromatic",,"=""""","=""""",0,3.46,Kromatic,Kindle Edition,278,2019,,,2025/10/23,to-read,to-read (#1146),to-read,,,,0,0
53504694,Dotcom Secrets: The Underground Playbook for Growing Your Company Online with Sales Funnels,Russell Brunson,"Brunson, Russell",,"=""140196060X""","=""9781401960605""",0,4.23,Hay House Business,Kindle Edition,419,2020,2011,,2025/10/23,to-read,to-read (#1145),to-read,,,,0,0
19342361,The Joy of Game Theory: An Introduction to Strategic Thinking,Presh Talwalkar,"Talwalkar, Presh",,"=""""","=""""",0,3.94,Presh Talwalkar,Kindle Edition,155,2013,2013,,2025/10/23,to-read,to-read (#1144),to-read,,,,0,0
40541157,The Basics of Bitcoins and Blockchains: An Introduction to Cryptocurrencies and the Technology that Powers Them,Antony Lewis,"Lewis, Antony",,"=""""","=""""",0,4.08,Mango Media,Kindle Edition,404,2018,2018,,2025/10/23,to-read,to-read (#1143),to-read,,,,0,0
35023750,Good Stocks Cheap: Value Investing with Confidence for a Lifetime of Stock Market Outperformance,Kenneth Jeffrey Marshall,"Marshall, Kenneth Jeffrey",,"=""1259836088""","=""9781259836084""",0,4.07,McGraw Hill,Kindle Edition,240,2017,,,2025/10/23,to-read,to-read (#1142),to-read,,,,0,0
40808884,Flow: A New Approach to Digital Transformation,Fin Goulding,"Goulding, Fin",Haydn Shaughnessy,"=""""","=""""",0,3.85,Flow Academy,Kindle Edition,220,2018,,,2025/10/23,to-read,to-read (#1141),to-read,,,,0,0
29510623,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Patrick J. McGinnis,"McGinnis, Patrick J.",,"=""0698402774""","=""9780698402775""",0,3.70,Portfolio,Kindle Edition,233,2016,2016,,2025/10/23,to-read,to-read (#1140),to-read,,,,0,0
48734902,Testing Business Ideas: A Field Guide for Rapid Experimentation (Strategyzer),David J. Bland,"Bland, David J.",Alexander Osterwalder,"=""""","=""""",0,4.26,Wiley,Kindle Edition,368,2019,,,2025/10/23,to-read,to-read (#1139),to-read,,,,0,0
35135618,Unlock The Real Power Of Ideation,R. Sridhar,"Sridhar, R.",,"=""""","=""""",0,4.65,Productivity & Quality Publishing Private Limited,Kindle Edition,247,2017,2017,,2025/10/23,to-read,to-read (#1138),to-read,,,,0,0
25985246,A Hindu Theology of Liberation: Not-Two Is Not One (SUNY series in Religious Studies),Anantanand Rambachan,"Rambachan, Anantanand",,"=""1438454570""","=""9781438454573""",0,4.31,SUNY Press,Kindle Edition,244,2014,2014,,2025/10/23,to-read,to-read (#1137),to-read,,,,0,0
19328910,Accounting for Value (Columbia Business School Publishing),Stephen Penman,"Penman, Stephen",,"=""""","=""""",0,4.20,Columbia Business School Publishing,Kindle Edition,266,2010,2010,,2025/10/23,to-read,to-read (#1136),to-read,,,,0,0
12248153,Competition Demystified: A Radically Simplified Approach to Business Strategy,Bruce C. Greenwald,"Greenwald, Bruce C.",Judd Kahn,"=""1101218436""","=""9781101218433""",0,4.31,Portfolio,Kindle Edition,428,2005,2005,,2025/10/23,to-read,to-read (#1135),to-read,,,,0,0
42315268,Unstoppable: A 90-Day Plan to Biohack Your Mind and Body for Success,Ben Angel,"Angel, Ben",,"=""1613083904""","=""9781613083901""",0,3.58,Entrepreneur Press,Kindle Edition,262,2018,2018,,2025/10/23,to-read,to-read (#1134),to-read,,,,0,0
39913835,When Coffee and Kale Compete: Become great at making products people will buy,Alan Klement,"Klement, Alan",,"=""""","=""""",0,4.03,NYC Press,Kindle Edition,280,2018,,,2025/10/23,to-read,to-read (#1133),to-read,,,,0,0
54615721,"The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do To Get More of It",Kelly McGonigal,"McGonigal, Kelly",,"=""""","=""""",0,4.13,Avery,Kindle Edition,272,2011,2011,,2025/10/23,to-read,to-read (#1132),to-read,,,,0,0
19188575,The Collected Works of Sri Ramana Maharshi,Ramana Maharshi,"Maharshi, Ramana",,"=""""","=""""",0,4.62,Sri Ramanasramam,Kindle Edition,246,2013,1959,,2025/10/23,to-read,to-read (#1131),to-read,,,,0,0
43562326,The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker,"Pinker, Steven",,"=""""","=""""",0,4.16,Penguin Books,Kindle Edition,844,,2010,,2025/10/23,to-read,to-read (#1130),to-read,,,,0,0
26186404,How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,Michael Greger,"Greger, Michael",Gene  Stone,"=""1250066123""","=""9781250066121""",0,4.42,Flatiron Books,Kindle Edition,673,2015,2015,,2025/10/23,to-read,to-read (#1129),to-read,,,,0,0
18808930,The Six Pillars of Self-Esteem,Nathaniel Branden,"Branden, Nathaniel",,"=""""","=""""",0,4.12,,Kindle Edition,369,2012,1994,,2025/10/23,to-read,to-read (#1128),to-read,,,,0,0
53514753,"Rapid Idea Generation: How to Create, Innovate, Conceive, and Invent From Scratch",Peter Hollins,"Hollins, Peter",,"=""""","=""""",0,4.21,PH Learning Inc.,Kindle Edition,204,2020,,,2025/10/23,to-read,to-read (#1127),to-read,,,,0,0
27230356,Everyday Ayurveda: Daily Habits That Can Change Your Life in a Day,Bhaswati Bhattacharya,"Bhattacharya, Bhaswati",,"=""8184007523""","=""9788184007527""",0,4.21,Ebury Press,Kindle Edition,249,2015,,,2025/10/23,to-read,to-read (#1126),to-read,,,,0,0
36607322,The Business Owner's Guide to Financial Freedom: What Wall Street Isn't Telling You,Mark J. Kohler,"Kohler, Mark J.",Randall Luebke,"=""1613083750""","=""9781613083758""",0,4.18,Entrepreneur Press,Kindle Edition,311,2017,2017,,2025/10/23,to-read,to-read (#1125),to-read,,,,0,0
39037161,Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,"Hoffman, Reid","Chris Yeh, Bill  Gates","=""1524761427""","=""9781524761424""",0,3.96,Currency,Kindle Edition,318,2018,2018,,2025/10/23,to-read,to-read (#1124),to-read,,,,0,0
27072929,Unleash Your Inner Company,John Chisholm,"Chisholm, John",,"=""162634213X""","=""9781626342132""",0,3.96,Greenleaf Book Group Press,Kindle Edition,473,2015,2015,,2025/10/23,to-read,to-read (#1123),to-read,,,,0,0
42934086,Unlocking the Customer Value Chain: How Decoupling Drives Consumer Disruption,Thales S. Teixeira,"Teixeira, Thales S.",Greg Piechota,"=""1524763098""","=""9781524763091""",0,4.44,Crown Currency,Kindle Edition,345,2019,2019,,2025/10/23,to-read,to-read (#1122),to-read,,,,0,0
21231455,Meditation (The Notebooks of Paul Brunton Book 4),Paul Brunton,"Brunton, Paul",,"=""""","=""""",0,4.24,Larson Publications,Kindle Edition,276,1986,1986,,2025/10/23,to-read,to-read (#1121),to-read,,,,0,0
22065307,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,"Ellenberg, Jordan",,"=""0698163842""","=""9780698163843""",0,3.95,Penguin,Kindle Edition,466,2014,2014,,2025/10/23,to-read,to-read (#1120),to-read,,,,0,0
17913885,"Lead with a Story: A Guide to Crafting Business Narratives That Captivate, Convince, and Inspire",Paul                   Smith,"Smith, Paul",,"=""0814420311""","=""9780814420317""",0,3.84,AMACOM,Kindle Edition,289,2012,2012,,2025/10/23,to-read,to-read (#1119),to-read,,,,0,0
21953205,The Snow Leopard,Peter Matthiessen,"Matthiessen, Peter",Pico Iyer,"=""1101663189""","=""9781101663189""",0,4.06,Penguin Classics,Kindle Edition,367,2008,1978,,2025/10/23,to-read,to-read (#1118),to-read,,,,0,0
28238163,On Fire: The 7 Choices to Ignite a Radically Inspired Life,John  O'Leary,"O'Leary, John",,"=""""","=""""",0,4.40,Gallery Books,Kindle Edition,289,2016,2016,,2025/10/23,to-read,to-read (#1117),to-read,,,,0,0
35397160,Finish: Give Yourself the Gift of Done,Jon Acuff,"Acuff, Jon",,"=""0698184807""","=""9780698184800""",0,4.14,Portfolio,Kindle Edition,206,2017,2017,,2025/10/23,to-read,to-read (#1116),to-read,,,,0,0
35183697,The How Not to Die Cookbook: 100+ Recipes to Help Prevent and Reverse Disease,Michael Greger,"Greger, Michael",Gene  Stone,"=""1250127750""","=""9781250127754""",0,4.12,Flatiron Books,Kindle Edition,520,2017,2017,,2025/10/23,to-read,to-read (#1115),to-read,,,,0,0
53503578,"Seven Figure Social Selling: Over 400 Pages of Proven Social Selling Scripts, Strategies, and Secrets to Increase Sales and Make More Money Today!",Brandon Bornancin,"Bornancin, Brandon",,"=""195256901X""","=""9781952569012""",0,3.69,Brandon Bornancin,Kindle Edition,660,2020,,,2025/10/23,to-read,to-read (#1114),to-read,,,,0,0
37509707,"Long-Distance Real Estate Investing: How to Buy, Rehab, and Manage Out-of-State Rental Properties",David     Greene,"Greene, David",,"=""0997584769""","=""9780997584769""",0,4.22,BiggerPockets Publishing,Kindle Edition,395,2017,,,2025/10/23,to-read,to-read (#1113),to-read,,,,0,0
51019546,"Ducks, Newburyport",Lucy Ellmann,"Ellmann, Lucy",,"=""1771963085""","=""9781771963084""",0,3.97,Biblioasis,Kindle Edition,1040,2019,2019,,2025/10/23,to-read,to-read (#1112),to-read,,,,0,0
33516538,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,"Sapolsky, Robert M.",,"=""0735222789""","=""9780735222786""",0,4.38,Penguin Books,Kindle Edition,798,2017,2017,,2025/10/23,to-read,to-read (#1111),to-read,,,,0,0
36896544,Fruit of the Drunken Tree,Ingrid Rojas Contreras,"Contreras, Ingrid Rojas",,"=""""","=""""",0,3.95,Knopf Doubleday Publishing Group,Kindle Edition,320,2018,2018,,2025/10/23,to-read,to-read (#1110),to-read,,,,0,0
44528152,Super Thinking: The Big Book of Mental Models,Gabriel Weinberg,"Weinberg, Gabriel",Lauren McCann,"=""0525533591""","=""9780525533597""",0,4.03,Portfolio,Kindle Edition,339,2019,2019,,2025/10/23,to-read,to-read (#1109),to-read,,,,0,0
50209713,"ONLINE MARKETING BOOT CAMP: The Proven 10-Step Formula To Turn Your Passion Into A Profitable Business, Create An Irresistible Brand Customers Will Love ... All!",Gundi Gabrielle,"Gabrielle, Gundi",,"=""""","=""""",0,4.10,,Kindle Edition,178,2020,,,2025/10/23,to-read,to-read (#1108),to-read,,,,0,0
26050611,Good Profit: How Creating Value for Others Built One of the World's Most Successful Companies,Charles G. Koch,"Koch, Charles G.",,"=""1101904143""","=""9781101904145""",0,3.86,Crown Currency,Kindle Edition,270,2015,2015,,2025/10/23,to-read,to-read (#1107),to-read,,,,0,0
42940474,Connected Strategy: Building Continuous Customer Relationships for Competitive Advantage,Nicolaj Siggelkow,"Siggelkow, Nicolaj",Christian Terwiesch,"=""1633697010""","=""9781633697010""",0,3.98,Harvard Business Review Press,Kindle Edition,263,2019,,,2025/10/23,to-read,to-read (#1106),to-read,,,,0,0
34120272,The Language of Flowers,Vanessa Diffenbaugh,"Diffenbaugh, Vanessa",,"=""""","=""""",0,4.09,Ballantine Books,Kindle Edition,331,2011,2011,,2025/10/23,to-read,to-read (#1105),to-read,,,,0,0
44575880,The RSS: Icons of the Indian Right,Nilanjan Mukhopadhyay,"Mukhopadhyay, Nilanjan",,"=""""","=""""",0,3.69,Tranquebar,Kindle Edition,449,2019,,,2025/10/23,to-read,to-read (#1104),to-read,,,,0,0
778947,Henderson on Corporate Strategy,Bruce D. Henderson,"Henderson, Bruce D.",,"=""0890115265""","=""9780890115268""",0,4.00,Harpercollins College Div,Hardcover,189,1979,1979,,2025/10/23,to-read,to-read (#1103),to-read,,,,0,0
39071691,"The Bullet Journal Method: Track Your Past, Order Your Present, Plan Your Future",Ryder Carroll,"Carroll, Ryder",,"=""0525533346""","=""9780525533344""",0,4.05,Penguin Publishing Group,Kindle Edition,336,2018,2018,,2025/10/23,to-read,to-read (#1102),to-read,,,,0,0
38746690,Liver Rescue,Anthony William,"William, Anthony",,"=""1401954413""","=""9781401954413""",0,4.10,Hay House LLC,Kindle Edition,469,2018,2018,,2025/10/23,to-read,to-read (#1101),to-read,,,,0,0
19095046,The Art of Profitability,Adrian J. Slywotzky,"Slywotzky, Adrian J.",,"=""""","=""""",0,3.95,Business Plus,Kindle Edition,272,2002,2002,,2025/10/23,to-read,to-read (#1100),to-read,,,,0,0
19458966,How to Grow When Markets Don't,Adrian J. Slywotzky,"Slywotzky, Adrian J.","Richard Wise, Karl Weber","=""075952792X""","=""9780759527928""",0,3.59,Business Plus,Kindle Edition,362,2003,2003,,2025/10/23,to-read,to-read (#1099),to-read,,,,0,0
21454593,Resource Revolution: How to Capture the Biggest Business Opportunity in a Century,Stefan Heck,"Heck, Stefan","Matt    Rogers, Paul B. Carroll","=""1477850201""","=""9781477850206""",0,3.87,Amazon Publishing,Kindle Edition,256,2014,2014,,2025/10/23,to-read,to-read (#1098),to-read,,,,0,0
6593563,The Color of Water,James   McBride,"McBride, James",,"=""1440636109""","=""9781440636103""",0,4.15,Riverhead Books,Kindle Edition,334,2006,1996,,2025/10/23,to-read,to-read (#1097),to-read,,,,0,0
20213065,The Miracle of Mindfulness: An Introduction to the Practice of Meditation,Thich Nhat Hanh,"Hanh, Thich Nhat","Vo-Dihn Mai, Mobi Ho","=""""","=""""",0,4.19,Beacon Press,Kindle Edition,172,1996,1975,,2025/10/23,to-read,to-read (#1096),to-read,,,,0,0
51901495,Master Your Focus: A Practical Guide to Stop Chasing the Next Thing and Focus on What Matters Until It's Done (Mastery #3),Thibaut Meurisse,"Meurisse, Thibaut",,"=""""","=""""",0,4.23,,Kindle Edition,236,2019,,,2025/10/23,to-read,to-read (#1095),to-read,,,,0,0
40491946,Financial Freedom: A Proven Path to All the Money You Will Ever Need,Grant Sabatier,"Sabatier, Grant",Vicki Robin,"=""0525534598""","=""9780525534594""",0,3.92,Avery,Kindle Edition,558,2019,2019,,2025/10/23,to-read,to-read (#1094),to-read,,,,0,0
6298372,Lords of Finance: The Bankers Who Broke the World,Liaquat Ahamed,"Ahamed, Liaquat",,"=""1440697965""","=""9781440697968""",0,4.03,Penguin,Kindle Edition,576,2009,2009,,2025/10/23,to-read,to-read (#1093),to-read,,,,0,0
5029888,My Stroke of Insight: A Brain Scientist's Personal Journey,Jill Bolte Taylor,"Taylor, Jill Bolte",,"=""1101213973""","=""9781101213971""",0,3.92,Plume Books,Kindle Edition,193,2008,2006,,2025/10/23,to-read,to-read (#1092),to-read,,,,0,0
18895254,"Anatomy for Runners: Unlocking Your Athletic Potential for Health, Speed, and Injury Prevention",Jay Dicharry,"Dicharry, Jay",,"=""""","=""""",0,4.22,Skyhorse,Kindle Edition,322,2012,,,2025/10/23,to-read,to-read (#1091),to-read,,,,0,0
52462984,Do More Faster: Techstars Lessons to Accelerate Your Startup,Brad Feld,"Feld, Brad",David B. Cohen,"=""111958325X""","=""9781119583257""",0,3.98,Wiley,Kindle Edition,400,2019,2010,,2025/10/23,to-read,to-read (#1090),to-read,,,,0,0
6658889,On the Road,Jack Kerouac,"Kerouac, Jack",,"=""1101127570""","=""9781101127575""",0,3.61,Penguin Books,Kindle Edition,307,1976,1957,,2025/10/23,to-read,to-read (#1089),to-read,,,,0,0
40694076,Free to Focus: A Total Productivity System to Achieve More by Doing Less,Michael Hyatt,"Hyatt, Michael",,"=""1493409549""","=""9781493409549""",0,4.07,Baker Books,Kindle Edition,250,2019,2019,,2025/10/23,to-read,to-read (#1088),to-read,,,,0,0
8201458,An Unquiet Mind,Kay Redfield Jamison,"Jamison, Kay Redfield",,"=""0307498484""","=""9780307498489""",0,4.06,Vintage,Kindle Edition,219,2009,1995,,2025/10/23,to-read,to-read (#1087),to-read,,,,0,0
221516563,Man and His Symbols,C.G. Jung,"Jung, C.G.",,"=""0307800555""","=""9780307800558""",0,4.19,Dell,Kindle Edition,510,2024,1964,,2025/10/23,to-read,to-read (#1086),to-read,,,,0,0
13163841,Modern Man in Search of a Soul,C.G. Jung,"Jung, C.G.","W.S. Dell, Cary F. Baynes","=""""","=""""",0,4.20,,Kindle Edition,266,,1931,,2025/10/23,to-read,to-read (#1085),to-read,,,,0,0
49373838,Shift: The Art of Transforming Limitations,Nick Egan,"Egan, Nick",,"=""""","=""""",0,4.20,Lioncrest Publishing,Kindle Edition,84,2019,,,2025/10/23,to-read,to-read (#1084),to-read,,,,0,0
18662473,Give and Take: Why Helping Others Drives Our Success,Adam M. Grant,"Grant, Adam M.",,"=""1101622849""","=""9781101622841""",0,4.07,Penguin Books,Kindle Edition,321,2013,2013,,2025/10/23,to-read,to-read (#1083),to-read,,,,0,0
23155181,"Inbound Marketing, Revised and Updated: Attract, Engage, and Delight Customers Online",Brian Halligan,"Halligan, Brian",Dharmesh Shah,"=""""","=""""",0,3.86,Wiley,Kindle Edition,216,2014,2014,,2025/10/23,to-read,to-read (#1082),to-read,,,,0,0
29972865,"Hope in the Dark: Untold Histories, Wild Possibilities",Rebecca Solnit,"Solnit, Rebecca",,"=""1608465799""","=""9781608465798""",0,3.97,Haymarket Books,Kindle Edition,188,2020,2004,,2025/10/23,to-read,to-read (#1081),to-read,,,,0,0
36609352,"What Truth Sounds Like: Robert F. Kennedy, James Baldwin, and Our Unfinished Conversation About Race in America",Michael Eric Dyson,"Dyson, Michael Eric",,"=""1250199425""","=""9781250199423""",0,4.10,St. Martin's Press,Kindle Edition,306,2018,2018,,2025/10/23,to-read,to-read (#1080),to-read,,,,0,0
6624506,Middlesex,Jeffrey Eugenides,"Eugenides, Jeffrey",,"=""1429956275""","=""9781429956277""",0,4.04,"Farrar, Straus and Giroux",Kindle Edition,544,2010,2002,,2025/10/23,to-read,to-read (#1079),to-read,,,,0,0
25491806,The Complete Stories,Flannery O'Connor,"O'Connor, Flannery",,"=""""","=""""",0,4.39,"Farrar, Straus and Giroux",Kindle Edition,579,2015,1971,,2025/10/23,to-read,to-read (#1078),to-read,,,,0,0
